31/10/2022 14:30:28 [127.0.0.1:52831] 304      0s GET /vendor/jquery/jquery-ui.css 
31/10/2022 14:30:28 [127.0.0.1:52831] 200      0s GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:30:59 [127.0.0.1:52831] 200     3ms GET / 
31/10/2022 14:30:59 [127.0.0.1:52831] 200      0s GET /js/k2.js 
31/10/2022 14:30:59 [127.0.0.1:52831] 200      0s GET /api-datainput 
31/10/2022 14:30:59 [127.0.0.1:52831] 200     1ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:31:06 [127.0.0.1:52870] 200    15ms GET / 
31/10/2022 14:31:06 [127.0.0.1:52870] 304      0s GET /js/k2.js 
31/10/2022 14:31:06 [127.0.0.1:52870] 200      0s GET /api-datainput 
31/10/2022 14:31:14 [127.0.0.1:52870] 200      0s GET /api-datainput 
31/10/2022 14:33:04 [127.0.0.1:53051] 200     2ms GET / 
31/10/2022 14:33:04 [127.0.0.1:53051] 304     1ms GET /vendor/jquery/jquery-3.6.0.min.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 304      0s GET /vendor/jquery/jquery-ui.min.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 200      0s GET /js/k2.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 304     1ms GET /vendor/chart.js/Chart.min.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 304     1ms GET /js/demo/chart-area-demo.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 304      0s GET /js/demo/chart-pie-demo.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 200      0s GET /js/k2.js 
31/10/2022 14:33:04 [127.0.0.1:53051] 304      0s GET /img/k2-32x32.png 
31/10/2022 14:33:04 [127.0.0.1:53051] 200      0s GET /api-datainput 
31/10/2022 14:33:07 [127.0.0.1:53051] 404     3ms GET /vendor/jquery/images/ui-icons_444444_256x240.png 
31/10/2022 14:33:13 [127.0.0.1:53069] 200     5ms POST /api-datainput 
31/10/2022 14:33:13 [127.0.0.1:53069] 304      0s GET /js/k2.js 
31/10/2022 14:33:13 [127.0.0.1:53069] 404      0s GET /api-datainputapi-datainput 
31/10/2022 14:35:05 [127.0.0.1:53134] 200     3ms POST /api-datainput/ 
31/10/2022 14:37:46 [127.0.0.1:53304] 200      0s GET /api-datainput 
31/10/2022 14:37:47 [127.0.0.1:53304] 200     2ms GET / 
31/10/2022 14:37:47 [127.0.0.1:53304] 304    59ms GET /vendor/jquery/jquery-ui.css 
31/10/2022 14:37:47 [127.0.0.1:53305] 200    36ms GET /js/k2.js 
31/10/2022 14:37:47 [127.0.0.1:53305] 200      0s GET /api-datainput 
31/10/2022 14:37:47 [127.0.0.1:53305] 304      0s GET /img/favicon.ico 
31/10/2022 14:38:28 [127.0.0.1:53330] 200     2ms GET / 
31/10/2022 14:38:28 [127.0.0.1:53330] 200     1ms GET /js/k2.js 
31/10/2022 14:38:28 [127.0.0.1:53330] 200      0s GET /api-datainput 
31/10/2022 14:38:30 [127.0.0.1:53330] 404     1ms GET /vendor/jquery/images/ui-icons_444444_256x240.png 
31/10/2022 14:38:35 [127.0.0.1:53342] 200     4ms POST /api-datainput 
31/10/2022 14:38:35 [127.0.0.1:53342] 304      0s GET /js/k2.js 
31/10/2022 14:38:35 [127.0.0.1:53342] 404      0s GET /api-datainputapi-datainput 
31/10/2022 14:38:39 [127.0.0.1:53342] 200      0s GET /api-datainput 
31/10/2022 14:38:42 [127.0.0.1:53355] 200     3ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:40:10 [127.0.0.1:53428] 200     2ms GET / 
31/10/2022 14:40:10 [127.0.0.1:53428] 304     1ms GET /vendor/jquery/jquery-3.6.0.min.js 
31/10/2022 14:40:10 [127.0.0.1:53428] 304     1ms GET /vendor/jquery/jquery-ui.min.js 
31/10/2022 14:40:10 [127.0.0.1:53428] 200     1ms GET /js/k2.js 
31/10/2022 14:40:10 [127.0.0.1:53428] 200      0s GET /api-datainput 
31/10/2022 14:40:10 [127.0.0.1:53428] 200     1ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
31/10/2022 14:41:14 [127.0.0.1:53483] 200     6ms POST /api-datainput 
31/10/2022 14:41:14 [127.0.0.1:53483] 304      0s GET /js/k2.js 
31/10/2022 14:41:14 [127.0.0.1:53483] 404      0s GET /api-datainputapi-datainput 
31/10/2022 14:42:01 [127.0.0.1:53512] 200     4ms GET / 
31/10/2022 14:42:01 [127.0.0.1:53512] 304     1ms GET /js/k2.js 
31/10/2022 14:42:01 [127.0.0.1:53512] 200      0s GET /api-datainput 
31/10/2022 14:42:05 [127.0.0.1:53518] 404     1ms GET /vendor/jquery/images/ui-icons_444444_256x240.png 
31/10/2022 14:44:13 [127.0.0.1:53567] 200     3ms GET / 
31/10/2022 14:44:13 [127.0.0.1:53567] 304      0s GET /vendor/chart.js/Chart.min.js 
31/10/2022 14:44:13 [127.0.0.1:53567] 304      0s GET /js/demo/chart-area-demo.js 
31/10/2022 14:44:13 [127.0.0.1:53567] 304     1ms GET /js/demo/chart-pie-demo.js 
31/10/2022 14:44:13 [127.0.0.1:53567] 200     1ms GET /js/k2.js 
31/10/2022 14:44:13 [127.0.0.1:53567] 200      0s GET /api-datainput 
31/10/2022 14:44:14 [127.0.0.1:53567] 404     1ms GET /vendor/jquery/images/ui-icons_444444_256x240.png 
31/10/2022 14:44:19 [127.0.0.1:53579] 200     5ms POST /api-datainput 
31/10/2022 14:44:19 [127.0.0.1:53579] 304      0s GET /js/k2.js 
31/10/2022 14:44:19 [127.0.0.1:53579] 404      0s GET /api-datainputapi-datainput 
31/10/2022 14:44:26 [127.0.0.1:53579] 200     1ms GET /vendor/bootstrap/js/bootstrap.bundle.min.js.map 
